Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW)	
RNN4_FG_3,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_NG_3,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_ptwise1_3,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_ptwise2_3,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_FG_4,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_NG_4,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_ptwise1_4,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_ptwise2_4,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_FG_5,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_NG_5,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_ptwise1_5,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_ptwise2_5,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_FG_6,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_NG_6,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_ptwise1_6,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_ptwise2_6,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_FG_7,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_NG_7,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_ptwise1_7,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_ptwise2_7,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_FG_8,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_NG_8,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_ptwise1_8,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_ptwise2_8,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_FG_9,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_NG_9,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_ptwise1_9,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_ptwise2_9,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
FC5,	GEMM,	174.71416097560976,	871.1278195121952,	0.0,	22.264404878048783,	1068.1063853658536,	5.498573658536586,	27.492868292682928,	2.1138,	2.701921756097561,	37.80716370731709,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	216.80366130731707,	0.3917594036114366,	0.47626448761777723,	0.8680238912292138,	0.3917594036114366,	0.47626448761777723,	0.8680238912292138,	2.3167834727550134,	2.173346768948554,	4.490130241703568,	1.5671396712416263,	3.0291242558158933,	4.596263927057519,	4.667441951219512,	6.155000000000002,	10.822441951219513,	1110.5809910243902,	185.15149759999997,	1295.73248862439,	
FC6,	GEMM,	219.73253374233124,	438.69695092024534,	0.0,	28.001245398773005,	686.4307300613495,	6.915384049079754,	13.830768098159508,	1.0633840490797546,	1.423052024539877,	23.232588220858897,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	202.22908582085893,	0.4927035444192913,	0.47626448761777723,	0.9689680320370685,	0.4927035444192913,	0.47626448761777723,	0.9689680320370685,	2.9137460853667343,	2.173346768948554,	5.087092854315289,	1.9709425313161555,	3.0291242558158933,	5.000066787132049,	5.870095705521472,	6.155000000000002,	12.025095705521474,	715.5334139877299,	185.1514976,	900.6849115877299,	
eyeriss_08b_bp_001c_uBrain_ddr3_w__spm,	All,	46.18203900170018,	1236.2865447905942,	0.0,	64.10774618064696,	1346.5763299729397,	8.681630000478913,	38.97604623452503,	10.119847237254858,	11.568072989870945,	69.34559646212978,	59.66549919999996,	59.66549919999996,	59.66549919999996,	178.99649760000014,	248.3420940621303,	0.32222481529888214,	0.4762644876177776,	0.7984893029166608,	0.22088633536271585,	0.4762644876177776,	0.6971508229804938,	2.066833535318829,	2.173346768948552,	4.240180304267386,	1.3980662695245427,	3.029124255815896,	4.427190525340438,	4.008010955504973,	6.155000000000005,	10.163010955504966,	1419.9299373905753,	185.15149759999997,	1605.0814349905768,	
