Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
RNN4_FG_5,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_5,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_ptwise1_5,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_ptwise2_5,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_FG_6,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_6,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_ptwise1_6,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_ptwise2_6,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_FG_7,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_7,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_ptwise1_7,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_ptwise2_7,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_FG_8,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_8,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_ptwise1_8,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_ptwise2_8,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_FG_9,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_9,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_ptwise1_9,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_ptwise2_9,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
FC5,	GEMM,	0.0015555358514553162,	0.00777767925727658,	0.0,	0.00012152623839494657,	0.009454741347126844,	0.0015555358514553162,	0.00777767925727658,	0.0006076311919747328,	0.0007291574303696795,	0.01067000373107631,	
FC6,	GEMM,	0.0019563487702352134,	0.003912697540470427,	0.0,	6.113589906985042e-05,	0.00593018220977549,	0.0019563487702352134,	0.003912697540470427,	0.0003056794953492521,	0.0003668153944191025,	0.006541541200473995,	
eyeriss_08b_bp_001c_uBrain_t7_ddr3_w__spm,	All,	0.0004117446659979264,	0.01104301341816983,	0.0,	0.0005730988220915068,	0.012027856906259262,	0.005642071178801201,	0.01104301341816983,	0.004621762288808584,	0.0051948611109000915,	0.026501707996679703,	
